Объём данных;Время (миллисекунды)
100000; 96 
200000; 172 
300000; 178 
400000; 300 
500000; 429 
600000; 548 
700000; 649 
800000; 778 
900000; 867 
1000000; 928 
1100000; 950 
1200000; 968 
1300000; 1031 
1400000; 1085 
1500000; 1140 
1600000; 1292 
1700000; 1935 
1800000; 1768 
1900000; 2085 
2000000; 2093 
2100000; 2030 
2200000; 2030 
2300000; 2074 
2400000; 2218 
2500000; 2573 
2600000; 2579 
2700000; 2795 
2800000; 3084 
2900000; 3201 
3000000; 4221 
3100000; 4761 
3200000; 5356 
3300000; 5491 
3400000; 5255 
3500000; 5534 
3600000; 5693 
3700000; 6077 
3800000; 5542 
3900000; 6234 
4000000; 6157 
4100000; 5790 
4200000; 5835 
4300000; 6794 
4400000; 7130 
4500000; 7094 
4600000; 6444 
4700000; 6728 
4800000; 8473 
4900000; 8124 
5000000; 8246 
5100000; 8301 
5200000; 8704 
5300000; 9146 
5400000; 9647 
5500000; 10577 
5600000; 10244 
5700000; 11006 
5800000; 10264 
5900000; 10310 
6000000; 10343 
6100000; 10360 
6200000; 10435 
6300000; 10495 
6400000; 10600 
6500000; 10744 
6600000; 11025 
6700000; 11331 
6800000; 11621 
6900000; 12020 
7000000; 12451 
7100000; 12946 
7200000; 13525 
7300000; 14008 
7400000; 14396 
7500000; 14736 
7600000; 15147 
7700000; 15585 
7800000; 16656 
7900000; 16917 
8000000; 17330 
8100000; 17776 
8200000; 18216 
8300000; 18730 
8400000; 19261 
8500000; 19590 
8600000; 19949 
8700000; 20603 
8800000; 21240 
8900000; 21948 
9000000; 22741 
9100000; 23516 
9200000; 24201 
9300000; 24624 
9400000; 26181 
9500000; 26398 
9600000; 27112 
9700000; 27860 
9800000; 28568 
9900000; 29359 
10000000; 30168 
