Объём данных;Время (миллисекунды)
100000; 11 
200000; 9 
300000; 8 
400000; 9 
500000; 8 
600000; 10 
700000; 11 
800000; 13 
900000; 15 
1000000; 15 
1100000; 17 
1200000; 18 
1300000; 19 
1400000; 21 
1500000; 22 
1600000; 24 
1700000; 26 
1800000; 27 
1900000; 29 
2000000; 29 
2100000; 31 
2200000; 33 
2300000; 34 
2400000; 35 
2500000; 36 
2600000; 39 
2700000; 40 
2800000; 44 
2900000; 42 
3000000; 44 
3100000; 46 
3200000; 47 
3300000; 49 
3400000; 49 
3500000; 51 
3600000; 61 
3700000; 65 
3800000; 63 
3900000; 57 
4000000; 61 
4100000; 59 
4200000; 62 
4300000; 61 
4400000; 63 
4500000; 64 
4600000; 66 
4700000; 67 
4800000; 69 
4900000; 70 
5000000; 72 
5100000; 73 
5200000; 74 
5300000; 75 
5400000; 77 
5500000; 79 
5600000; 79 
5700000; 81 
5800000; 83 
5900000; 85 
6000000; 86 
6100000; 87 
6200000; 88 
6300000; 90 
6400000; 92 
6500000; 94 
6600000; 94 
6700000; 96 
6800000; 98 
6900000; 100 
7000000; 99 
7100000; 101 
7200000; 103 
7300000; 103 
7400000; 106 
7500000; 108 
7600000; 109 
7700000; 109 
7800000; 110 
7900000; 114 
8000000; 114 
8100000; 114 
8200000; 121 
8300000; 120 
8400000; 121 
8500000; 122 
8600000; 122 
8700000; 127 
8800000; 127 
8900000; 143 
9000000; 147 
9100000; 133 
9200000; 135 
9300000; 136 
9400000; 133 
9500000; 134 
9600000; 136 
9700000; 136 
9800000; 137 
9900000; 144 
10000000; 141 
10100000; 142 
10200000; 143 
10300000; 145 
10400000; 147 
10500000; 150 
10600000; 151 
10700000; 151 
10800000; 154 
10900000; 160 
11000000; 157 
11100000; 156 
11200000; 158 
11300000; 163 
11400000; 162 
11500000; 166 
11600000; 166 
11700000; 169 
11800000; 169 
11900000; 167 
12000000; 169 
12100000; 170 
12200000; 173 
12300000; 177 
12400000; 176 
12500000; 176 
12600000; 177 
12700000; 178 
12800000; 182 
12900000; 185 
13000000; 185 
13100000; 186 
13200000; 187 
13300000; 189 
13400000; 190 
13500000; 190 
13600000; 263 
13700000; 202 
13800000; 194 
13900000; 201 
14000000; 205 
14100000; 204 
14200000; 203 
14300000; 202 
14400000; 204 
14500000; 206 
14600000; 204 
14700000; 208 
14800000; 209 
14900000; 212 
15000000; 224 
15100000; 229 
15200000; 223 
15300000; 236 
15400000; 218 
15500000; 222 
15600000; 222 
15700000; 223 
15800000; 223 
15900000; 224 
16000000; 226 
16100000; 227 
16200000; 228 
16300000; 231 
16400000; 234 
16500000; 233 
16600000; 240 
16700000; 235 
16800000; 235 
16900000; 239 
17000000; 240 
17100000; 239 
17200000; 240 
17300000; 243 
17400000; 249 
17500000; 250 
17600000; 249 
17700000; 266 
17800000; 259 
17900000; 254 
18000000; 301 
18100000; 496 
18200000; 322 
18300000; 288 
18400000; 303 
18500000; 273 
18600000; 272 
18700000; 409 
18800000; 281 
18900000; 304 
19000000; 362 
19100000; 316 
19200000; 287 
19300000; 293 
19400000; 283 
19500000; 280 
19600000; 313 
19700000; 288 
19800000; 288 
19900000; 299 
20000000; 304 
