Объём данных;Время (миллисекунды)
100000; 10 
200000; 9 
300000; 7 
400000; 8 
500000; 8 
600000; 9 
700000; 10 
800000; 12 
900000; 14 
1000000; 14 
1100000; 15 
1200000; 18 
1300000; 18 
1400000; 21 
1500000; 22 
1600000; 23 
1700000; 25 
1800000; 26 
1900000; 27 
2000000; 28 
2100000; 30 
2200000; 32 
2300000; 32 
2400000; 35 
2500000; 35 
2600000; 37 
2700000; 39 
2800000; 39 
2900000; 41 
3000000; 43 
3100000; 43 
3200000; 49 
3300000; 46 
3400000; 47 
3500000; 49 
3600000; 52 
3700000; 52 
3800000; 55 
3900000; 55 
4000000; 57 
4100000; 58 
4200000; 59 
4300000; 61 
4400000; 61 
4500000; 64 
4600000; 64 
4700000; 65 
4800000; 66 
4900000; 68 
5000000; 69 
5100000; 70 
5200000; 72 
5300000; 73 
5400000; 74 
5500000; 76 
5600000; 78 
5700000; 78 
5800000; 79 
5900000; 81 
6000000; 85 
6100000; 83 
6200000; 85 
6300000; 87 
6400000; 88 
6500000; 89 
6600000; 91 
6700000; 92 
6800000; 93 
6900000; 95 
7000000; 96 
7100000; 97 
7200000; 100 
7300000; 99 
7400000; 102 
7500000; 104 
7600000; 104 
7700000; 106 
7800000; 106 
7900000; 110 
8000000; 111 
8100000; 114 
8200000; 112 
8300000; 114 
8400000; 117 
8500000; 118 
8600000; 118 
8700000; 122 
8800000; 123 
8900000; 122 
9000000; 126 
9100000; 127 
9200000; 125 
9300000; 128 
9400000; 130 
9500000; 131 
9600000; 135 
9700000; 133 
9800000; 135 
9900000; 135 
10000000; 139 
10100000; 150 
10200000; 141 
10300000; 141 
10400000; 143 
10500000; 147 
10600000; 148 
10700000; 150 
10800000; 148 
10900000; 153 
11000000; 150 
11100000; 156 
11200000; 155 
11300000; 156 
11400000; 156 
11500000; 157 
11600000; 161 
11700000; 175 
11800000; 168 
11900000; 165 
12000000; 166 
12100000; 167 
12200000; 167 
12300000; 170 
12400000; 170 
12500000; 171 
12600000; 173 
12700000; 174 
12800000; 176 
12900000; 180 
13000000; 180 
13100000; 185 
13200000; 182 
13300000; 185 
13400000; 186 
13500000; 190 
13600000; 191 
13700000; 193 
13800000; 194 
13900000; 191 
14000000; 198 
14100000; 192 
14200000; 208 
14300000; 208 
14400000; 199 
14500000; 205 
14600000; 216 
14700000; 221 
14800000; 225 
14900000; 208 
15000000; 288 
15100000; 211 
15200000; 210 
15300000; 223 
15400000; 230 
15500000; 237 
15600000; 235 
15700000; 222 
15800000; 227 
15900000; 233 
16000000; 233 
16100000; 228 
16200000; 244 
16300000; 229 
16400000; 239 
16500000; 230 
16600000; 247 
16700000; 237 
16800000; 231 
16900000; 247 
17000000; 232 
17100000; 241 
17200000; 244 
17300000; 249 
17400000; 259 
17500000; 245 
17600000; 303 
17700000; 266 
17800000; 251 
17900000; 257 
18000000; 293 
18100000; 263 
18200000; 254 
18300000; 256 
18400000; 253 
18500000; 266 
18600000; 298 
18700000; 717 
18800000; 580 
18900000; 291 
19000000; 280 
19100000; 264 
19200000; 271 
19300000; 268 
19400000; 272 
19500000; 268 
19600000; 373 
19700000; 270 
19800000; 281 
19900000; 276 
20000000; 291 
