Объём данных;Время (миллисекунды)
100000; 41 
200000; 47 
300000; 23 
400000; 23 
500000; 27 
600000; 106 
700000; 29 
800000; 35 
900000; 38 
1000000; 43 
1100000; 44 
1200000; 82 
1300000; 52 
1400000; 63 
1500000; 59 
1600000; 69 
1700000; 67 
1800000; 77 
1900000; 75 
2000000; 85 
2100000; 82 
2200000; 86 
2300000; 111 
2400000; 122 
2500000; 128 
2600000; 132 
2700000; 137 
2800000; 158 
2900000; 131 
3000000; 124 
3100000; 121 
3200000; 142 
3300000; 177 
3400000; 150 
3500000; 159 
3600000; 142 
3700000; 153 
3800000; 146 
3900000; 151 
4000000; 153 
4100000; 162 
4200000; 169 
4300000; 207 
4400000; 184 
4500000; 184 
4600000; 183 
4700000; 187 
4800000; 242 
4900000; 214 
5000000; 195 
5100000; 197 
5200000; 292 
5300000; 265 
5400000; 447 
5500000; 319 
5600000; 235 
5700000; 245 
5800000; 239 
5900000; 312 
6000000; 297 
6100000; 247 
6200000; 256 
6300000; 277 
6400000; 248 
6500000; 251 
6600000; 285 
6700000; 278 
6800000; 533 
6900000; 475 
7000000; 537 
7100000; 327 
7200000; 306 
7300000; 295 
7400000; 328 
7500000; 323 
7600000; 323 
7700000; 333 
7800000; 344 
7900000; 320 
8000000; 335 
8100000; 422 
8200000; 353 
8300000; 419 
8400000; 371 
8500000; 359 
8600000; 336 
8700000; 333 
8800000; 369 
8900000; 371 
9000000; 385 
9100000; 373 
9200000; 367 
9300000; 357 
9400000; 361 
9500000; 372 
9600000; 404 
9700000; 434 
9800000; 487 
9900000; 378 
10000000; 385 
