Объём данных;Время (миллисекунды)
100000; 66 
200000; 59 
300000; 43 
400000; 69 
500000; 200 
600000; 106 
700000; 150 
800000; 203 
900000; 219 
1000000; 224 
1100000; 244 
1200000; 244 
1300000; 269 
1400000; 300 
1500000; 297 
1600000; 319 
1700000; 367 
1800000; 392 
1900000; 439 
2000000; 461 
2100000; 476 
2200000; 490 
2300000; 525 
2400000; 607 
2500000; 586 
2600000; 602 
2700000; 661 
2800000; 755 
2900000; 876 
3000000; 1137 
3100000; 1072 
3200000; 1135 
3300000; 1205 
3400000; 1271 
3500000; 1402 
3600000; 1428 
3700000; 1529 
3800000; 1509 
3900000; 1565 
4000000; 1579 
4100000; 1565 
4200000; 1559 
4300000; 1685 
4400000; 1670 
4500000; 1724 
4600000; 1791 
4700000; 1911 
4800000; 1985 
4900000; 2034 
5000000; 2281 
5100000; 2408 
5200000; 2755 
5300000; 2702 
5400000; 2763 
5500000; 2967 
5600000; 2705 
5700000; 3131 
5800000; 3078 
5900000; 2995 
6000000; 2887 
6100000; 3051 
6200000; 3052 
6300000; 3223 
6400000; 3111 
6500000; 3216 
6600000; 3113 
6700000; 3152 
6800000; 3481 
6900000; 3500 
7000000; 3610 
7100000; 3707 
7200000; 3834 
7300000; 4283 
7400000; 4534 
7500000; 4432 
7600000; 4647 
7700000; 4659 
7800000; 5043 
7900000; 5209 
8000000; 5178 
8100000; 5053 
8200000; 5361 
8300000; 5642 
8400000; 5594 
8500000; 5840 
8600000; 5710 
8700000; 6640 
8800000; 7282 
8900000; 7300 
9000000; 6917 
9100000; 7780 
9200000; 8383 
9300000; 8461 
9400000; 8397 
9500000; 8771 
9600000; 9098 
9700000; 9106 
9800000; 10028 
9900000; 9987 
10000000; 9949 
