Объём данных;Время (миллисекунды)
100000; 11 
200000; 8 
300000; 6 
400000; 6 
500000; 8 
600000; 10 
700000; 11 
800000; 13 
900000; 14 
1000000; 15 
1100000; 16 
1200000; 19 
1300000; 21 
1400000; 21 
1500000; 24 
1600000; 23 
1700000; 25 
1800000; 27 
1900000; 30 
2000000; 29 
2100000; 31 
2200000; 33 
2300000; 35 
2400000; 36 
2500000; 37 
2600000; 40 
2700000; 40 
2800000; 42 
2900000; 46 
3000000; 43 
3100000; 47 
3200000; 48 
3300000; 49 
3400000; 50 
3500000; 52 
3600000; 60 
3700000; 53 
3800000; 57 
3900000; 64 
4000000; 72 
4100000; 80 
4200000; 78 
4300000; 74 
4400000; 103 
4500000; 77 
4600000; 79 
4700000; 75 
4800000; 68 
4900000; 69 
5000000; 71 
5100000; 84 
5200000; 73 
5300000; 75 
5400000; 75 
5500000; 80 
5600000; 80 
5700000; 82 
5800000; 82 
5900000; 82 
6000000; 85 
6100000; 86 
6200000; 93 
6300000; 91 
6400000; 91 
6500000; 93 
6600000; 93 
6700000; 96 
6800000; 95 
6900000; 96 
7000000; 98 
7100000; 101 
7200000; 103 
7300000; 101 
7400000; 105 
7500000; 106 
7600000; 106 
7700000; 108 
7800000; 109 
7900000; 112 
8000000; 112 
8100000; 115 
8200000; 117 
8300000; 118 
8400000; 119 
8500000; 121 
8600000; 123 
8700000; 126 
8800000; 126 
8900000; 125 
9000000; 129 
9100000; 134 
9200000; 132 
9300000; 132 
9400000; 134 
9500000; 133 
9600000; 139 
9700000; 139 
9800000; 138 
9900000; 142 
10000000; 139 
10100000; 141 
10200000; 143 
10300000; 143 
10400000; 146 
10500000; 154 
10600000; 147 
10700000; 152 
10800000; 152 
10900000; 155 
11000000; 157 
11100000; 157 
11200000; 158 
11300000; 157 
11400000; 162 
11500000; 160 
11600000; 162 
11700000; 166 
11800000; 167 
11900000; 167 
12000000; 169 
12100000; 215 
12200000; 178 
12300000; 176 
12400000; 180 
12500000; 178 
12600000; 177 
12700000; 184 
12800000; 182 
12900000; 184 
13000000; 191 
13100000; 189 
13200000; 192 
13300000; 204 
13400000; 199 
13500000; 201 
13600000; 200 
13700000; 220 
13800000; 197 
13900000; 204 
14000000; 251 
14100000; 203 
14200000; 274 
14300000; 281 
14400000; 250 
14500000; 292 
14600000; 291 
14700000; 245 
14800000; 243 
14900000; 222 
15000000; 218 
15100000; 257 
15200000; 240 
15300000; 241 
15400000; 226 
15500000; 225 
15600000; 239 
15700000; 231 
15800000; 218 
15900000; 224 
16000000; 226 
16100000; 225 
16200000; 225 
16300000; 227 
16400000; 233 
16500000; 236 
16600000; 229 
16700000; 238 
16800000; 238 
16900000; 241 
17000000; 285 
17100000; 237 
17200000; 256 
17300000; 286 
17400000; 259 
17500000; 419 
17600000; 272 
17700000; 253 
17800000; 282 
17900000; 273 
18000000; 269 
18100000; 256 
18200000; 254 
18300000; 254 
18400000; 260 
18500000; 259 
18600000; 265 
18700000; 280 
18800000; 347 
18900000; 304 
19000000; 276 
19100000; 402 
19200000; 320 
19300000; 308 
19400000; 316 
19500000; 290 
19600000; 276 
19700000; 273 
19800000; 284 
19900000; 282 
20000000; 287 
